folder	file	element_id	chapitre	seance	type
chapitre-06-nombres-complexes	seance-6-1-2-exercices-partie1.txt	133670	Chapitre 6 : Nombres complexes	Séance 6-1-2 : Nombres complexes - Partie 1 (Exercices)	Exercices
chapitre-06-nombres-complexes	seance-6-2-1-cours-partie2.txt	133406	Chapitre 6 : Nombres complexes	Séance 6-2-1 : Nombres complexes - Partie 2 (Cours)	Cours
chapitre-06-nombres-complexes	seance-6-2-2-exercices-partie2.txt	133672	Chapitre 6 : Nombres complexes	Séance 6-2-2 : Nombres complexes - Partie 2 (Exercices)	Exercices
chapitre-06-nombres-complexes	seance-6-3-probleme-de-synthese.txt	133674	Chapitre 6 : Nombres complexes	Séance 6-3 : Nombres complexes - Problème de synthèse	Problème de synthèse
chapitre-07-calcul-integral	seance-7-1-1-cours-partie1.txt	134140	Chapitre 7 : Calcul intégral	Séance 7-1-1 : Calcul intégral - Partie 1 (Cours)	Cours
chapitre-07-calcul-integral	seance-7-1-2-exercices-partie1.txt	134158	Chapitre 7 : Calcul intégral	Séance 7-1-2 : Calcul intégral - Partie 1 (Exercices)	Exercices
chapitre-07-calcul-integral	seance-7-2-1-cours-partie2.txt	134155	Chapitre 7 : Calcul intégral	Séance 7-2-1 : Calcul intégral - Partie 2 (Cours)	Cours
chapitre-07-calcul-integral	seance-7-2-2-exercices-partie2.txt	134160	Chapitre 7 : Calcul intégral	Séance 7-2-2 : Calcul intégral - Partie 2 (Exercices)	Exercices
chapitre-07-calcul-integral	seance-7-3-probleme-de-synthese.txt	134173	Chapitre 7 : Calcul intégral	Séance 7-3 : Calcul intégral - Problème de synthèse	Problème de synthèse
chapitre-08-equations-differentielles	seance-8-1-cours.txt	131997	Chapitre 8 : Équations différentielles	Séance 8-1 : Équations différentielles - Cours	Cours
chapitre-08-equations-differentielles	seance-8-2-exercices.txt	134304	Chapitre 8 : Équations différentielles	Séance 8-2 : Équations différentielles - Exercices	Exercices
chapitre-08-equations-differentielles	seance-8-3-probleme-de-synthese.txt	134306	Chapitre 8 : Équations différentielles	Séance 8-3 : Équations différentielles - Problème de synthèse	Problème de synthèse
chapitre-09-arithmetique-dans-Z	seance-9-1-1-cours-partie1.txt	134232	Chapitre 9 : Arithmétique dans ℤ	Séance 9-1-1 : Arithmétique dans ℤ - Partie 1 (Cours)	Cours
